,Reporter,Partner,Trade_Indicator,CountryPair,L3
81,Afghanistan,"Kuwait, the State of",0.0,C004C414,N03
82,Afghanistan,Kyrgyz Republic,0.0,C004C417,N03
83,Afghanistan,Lao PDR,0.0,C004C418,N03
84,Afghanistan,Lebanese Republic,0.0034999999999999996,C004C422,N03
85,Afghanistan,Lesotho,0.0,C004C426,N03
86,Afghanistan,Latvia,0.0,C004C428,N03
87,Afghanistan,Libya,0.0,C004C434,N03
88,Afghanistan,Lithuania,0.0,C004C440,N03
89,Afghanistan,Luxembourg,0.0,C004C442,N03
90,Afghanistan,"Macao, China",0.0,C004C446,N03
91,Afghanistan,Madagascar,0.0,C004C450,N03
92,Afghanistan,Malawi,0.0,C004C454,N03
93,Afghanistan,Malaysia,0.0019,C004C458,N03
94,Afghanistan,Maldives,0.0,C004C462,N03
95,Afghanistan,Mali,0.0,C004C466,N03
96,Afghanistan,Malta,0.0,C004C470,N03
97,Afghanistan,Mauritania,0.0,C004C478,N03
98,Afghanistan,Mauritius,0.0,C004C480,N03
99,Afghanistan,Mexico,0.0,C004C484,N03
100,Afghanistan,Mongolia,0.0,C004C496,N03
101,Afghanistan,"Moldova, Republic of",0.0,C004C498,N03
102,Afghanistan,Morocco,0.00030000000000000003,C004C504,N03
103,Afghanistan,Mozambique,0.0,C004C508,N03
104,Afghanistan,Oman,0.0,C004C512,N03
105,Afghanistan,Namibia,0.0,C004C516,N03
106,Afghanistan,Nepal,0.0019,C004C524,N03
107,Afghanistan,Netherlands,0.0048,C004C528,N03
108,Afghanistan,New Zealand,0.0,C004C554,N03
109,Afghanistan,Nicaragua,0.0,C004C558,N03
110,Afghanistan,Niger,0.0,C004C562,N03
111,Afghanistan,Nigeria,0.0,C004C566,N03
112,Afghanistan,Norway,0.0,C004C578,N03
113,Afghanistan,Pakistan,0.3597,C004C586,N03
114,Afghanistan,Panama,0.0,C004C591,N03
115,Afghanistan,Paraguay,0.0,C004C600,N03
116,Afghanistan,Peru,0.0,C004C604,N03
117,Afghanistan,Philippines,0.0,C004C608,N03
118,Afghanistan,Poland,0.0,C004C616,N03
119,Afghanistan,Portugal,0.0,C004C620,N03
120,Afghanistan,Timor-Leste,0.0,C004C626,N03
121,Afghanistan,Qatar,0.0,C004C634,N03
122,Afghanistan,Romania,0.0,C004C642,N03
123,Afghanistan,Russian Federation,0.0050999999999999995,C004C643,N03
124,Afghanistan,Rwanda,0.0,C004C646,N03
125,Afghanistan,Saint Kitts and Nevis,0.0,C004C659,N03
126,Afghanistan,Saint Lucia,0.0,C004C662,N03
127,Afghanistan,Saint Vincent and the Grenadines,0.0,C004C670,N03
128,Afghanistan,Sao Tom̩ and Principe,0.0,C004C678,N03
129,Afghanistan,"Saudi Arabia, Kingdom of",0.0012000000000000001,C004C682,N03
130,Afghanistan,Senegal,0.0,C004C686,N03
131,Afghanistan,Seychelles,0.0,C004C690,N03
132,Afghanistan,Sierra Leone,0.0,C004C694,N03
133,Afghanistan,Singapore,0.0,C004C702,N03
134,Afghanistan,Slovak Republic,0.0,C004C703,N03
135,Afghanistan,Viet Nam,0.007,C004C704,N03
136,Afghanistan,Slovenia,0.0,C004C705,N03
137,Afghanistan,South Africa,0.0009,C004C710,N03
138,Afghanistan,Zimbabwe,0.0,C004C716,N03
139,Afghanistan,Spain,0.0028,C004C724,N03
140,Afghanistan,Sudan,0.0,C004C736,N03
141,Afghanistan,Suriname,0.0,C004C740,N03
142,Afghanistan,Eswatini,0.0741,C004C748,N03
143,Afghanistan,Sweden,0.0004,C004C752,N03
144,Afghanistan,Switzerland,0.0,C004C756,N03
145,Afghanistan,Tajikistan,0.1518,C004C762,N03
146,Afghanistan,Thailand,0.0,C004C764,N03
147,Afghanistan,Togo,0.0,C004C768,N03
148,Afghanistan,Tonga,0.0,C004C776,N03
149,Afghanistan,Trinidad and Tobago,0.0,C004C780,N03
150,Afghanistan,United Arab Emirates,0.010700000000000001,C004C784,N03
151,Afghanistan,Tunisia,0.0,C004C788,N03
152,Afghanistan,Turkey,0.0262,C004C792,N03
153,Afghanistan,Uganda,0.0,C004C800,N03
154,Afghanistan,Ukraine,0.0007999999999999999,C004C804,N03
155,Afghanistan,North Macedonia,0.0,C004C807,N03
156,Afghanistan,Egypt,0.0009,C004C818,N03
157,Afghanistan,United Kingdom,0.0012,C004C826,N03
158,Afghanistan,Tanzania,0.0,C004C834,N03
159,Afghanistan,USA,0.033600000000000005,C004C840,N03
160,Afghanistan,Burkina Faso,0.0,C004C854,N03
161,Afghanistan,Uruguay,0.0,C004C858,N03
162,Afghanistan,Uzbekistan,0.0649,C004C860,N03
163,Afghanistan,Venezuela,0.0,C004C862,N03
164,Afghanistan,Samoa,0.0,C004C882,N03
165,Afghanistan,Yemen,0.0,C004C887,N03
166,Afghanistan,Serbia,0.0,C004C892,N03
167,Afghanistan,Montenegro,0.0,C004C893,N03
168,Afghanistan,Zambia,0.0,C004C894,N03
169,Afghanistan,European Union,0.1145,C004U918,N03
170,Albania,Afghanistan,0.0,C008C004,N03
171,Albania,Algeria,0.0,C008C012,N03
172,Albania,Angola,0.0,C008C024,N03
173,Albania,Antigua and Barbuda,0.0,C008C028,N03
174,Albania,Azerbaijan,0.0,C008C031,N03
175,Albania,Argentina,0.0,C008C032,N03
